Rooms,Type,Price,Postcode,Distance
3,h,1490000,3067,3
3,h,1220000,3067,3
3,h,1420000,3067,3
3,h,1515000,3040,7.5
2,h,670000,3042,10.4
2,t,530000,3042,10.4
2,u,540000,3042,10.4
3,h,715000,3042,10.4
6,h,830000,3021,14
3,h,1925000,3206,3
3,u,515000,3020,10.5
4,h,717000,3020,10.5
2,h,1675000,3078,5.7
4,h,2008000,3078,5.7
2,h,860000,3018,11
4,h,830000,3028,15.5
3,h,720000,3025,9.4
2,u,836000,3143,6.3
3,h,1386000,3143,6.3
2,u,580000,3143,6.3
1,u,355000,3143,6.3
3,h,1123100,3032,4.3
3,u,1270000,3147,10.2
4,h,830000,3147,10.2
3,t,1610000,3147,10.2
4,h,1435000,3147,10.2
4,h,1431000,3195,21.5
4,h,996000,3195,21.5
4,h,830000,3049,16.5
4,h,825000,3034,9.5
2,u,660800,3103,7.9
2,t,700000,3103,7.9
3,u,955000,3103,7.9
4,h,1810000,3103,7.9
4,h,1850000,3104,9.7
3,h,830000,3104,9.7
3,h,1220000,3104,9.7
4,h,830000,3104,9.7
2,u,800000,3104,9.7
4,h,880000,3153,23.2
4,h,1285000,3193,17.3
2,u,835000,3193,17.3
4,h,1445000,3193,17.3
2,t,830000,3193,17.3
4,h,1435000,3193,17.3
3,u,675000,3081,8.8
4,t,1300000,3204,11.4
4,t,1500000,3204,11.4
3,h,1340000,3204,11.4
2,h,830000,3204,11.4
3,h,1400000,3165,13.8
2,u,830000,3165,13.8
2,t,775000,3165,13.8
3,t,920000,3165,13.8
2,h,1220000,3165,13.8
2,h,1130000,3165,13.8
4,h,1460000,3165,13.8
3,t,830000,3193,17.3
4,h,1200000,3130,13.4
4,h,1410000,3130,13.4
3,h,1110000,3130,13.4
4,h,960000,3130,13.4
5,h,1090000,3130,13.4
3,h,980000,3130,13.4
3,t,830000,3130,13.4
4,h,1925000,3130,13.4
3,u,710000,3130,13.4
4,h,985000,3196,27
4,h,830000,3155,25
2,u,420000,3128,10.9
3,h,500500,3019,8.6
2,h,490000,3019,8.6
2,t,500000,3019,8.6
3,t,830000,3186,10.5
4,h,830000,3186,10.5
3,h,830000,3186,10.5
4,h,830000,3186,10.5
2,u,830000,3187,10.3
4,h,830000,3187,10.3
4,h,830000,3187,10.3
3,h,1958000,3187,10.3
4,h,830000,3187,10.3
4,h,2975000,3187,10.3
4,h,830000,3047,14
3,h,457000,3047,14
3,h,830000,3056,5.2
2,h,740000,3056,5.2
3,h,830000,3056,5.2
3,h,900000,3056,5.2
4,h,1250000,3056,5.2
4,h,830000,3056,5.2
2,h,1225000,3056,5.2
3,h,1120000,3056,5.2
2,t,560000,3056,5.2
3,h,1685000,3056,5.2
2,u,625000,3056,5.2
3,h,1470000,3057,4
2,h,860000,3057,4
3,t,900000,3055,5.2
2,u,398000,3055,5.2
2,h,576000,3055,5.2
4,h,1400000,3055,5.2
5,h,830000,3055,5.2
3,h,850000,3055,5.2
4,h,1150000,3105,10.8
2,t,525000,3083,12.1
4,h,740000,3083,12.1
2,u,340000,3083,12.1
5,h,1265000,3125,10.4
3,h,1000000,3125,10.4
4,t,1460000,3151,14.7
4,t,1200000,3151,14.7
4,h,935000,3151,14.7
3,u,780000,3151,14.7
2,u,868000,3124,7.7
3,t,1375000,3124,7.7
2,h,1235000,3124,7.7
3,h,1510000,3124,7.7
3,h,1520000,3124,7.7
2,u,835000,3124,7.7
2,u,495000,3124,7.7
6,h,830000,3124,7.7
2,u,830000,3053,1.6
2,h,1470000,3054,3.5
3,h,2410000,3054,3.5
4,h,1775000,3163,10.1
3,h,830000,3163,10.1
1,u,295000,3163,10.1
4,h,629000,3023,14.8
2,t,406000,3023,14.8
3,h,825000,3197,31.2
4,h,581500,3201,34.9
3,h,1400000,3145,8.4
2,h,830000,3161,7.8
2,u,830000,3162,8.7
3,h,1538000,3162,8.7
3,h,1354000,3148,11.7
3,u,886000,3196,27
4,h,830000,3192,17.9
5,h,830000,3756,44.2
7,h,4000000,3168,16.7
4,t,1010000,3168,16.7
2,t,697500,3168,16.7
4,h,830000,3168,16.7
3,h,800000,3169,17.5
4,h,830000,3068,3.6
3,h,1805000,3068,3.6
3,h,1400000,3068,3.6
3,h,1032500,3058,6.7
3,h,1070000,3058,6.7
3,h,1005000,3058,6.7
2,h,905000,3058,6.7
2,u,412000,3058,6.7
1,u,333000,3058,6.7
2,h,797500,3058,6.7
2,u,430000,3058,6.7
2,t,490000,3058,6.7
4,h,960000,3058,6.7
2,t,830000,3066,2
2,u,960000,3066,2
3,h,356500,3064,20.6
5,h,830000,3064,20.6
4,h,580500,3064,20.6
3,h,573000,3064,20.6
4,h,475000,3064,20.6
3,t,385000,3064,20.6
3,h,830000,3977,34.7
3,h,475000,3977,34.7
3,t,744000,3136,23
4,h,830000,3136,23
3,h,830000,3136,23
3,h,746000,3136,23
3,h,965000,3136,23
3,h,455500,3047,14
3,h,800000,3175,24.7
3,h,610000,3175,24.7
2,u,830000,3175,24.7
2,u,307000,3175,24.7
3,h,830000,3340,37.5
2,h,1610000,3103,7.9
5,h,589000,3023,14.8
4,h,603000,3023,14.8
3,h,335000,3037,18
4,h,730000,3089,21.8
4,h,920000,3172,22.2
3,h,770000,3172,22.2
4,h,1140000,3172,22.2
4,h,910000,3172,22.2
4,h,883850,3172,22.2
4,h,1556000,3108,12.4
4,h,830000,3108,12.4
4,h,1249000,3109,14.3
3,t,950000,3109,14.3
3,t,820000,3109,14.3
4,h,1730000,3109,14.3
3,h,830000,3109,14.3
3,h,1260000,3111,16.1
4,h,1300000,3111,16.1
3,h,1820000,3084,8.9
1,u,675000,3002,1.3
3,h,1130000,3196,27
3,t,1683000,3185,7.2
4,h,830000,3185,7.2
3,h,840500,3095,18
3,h,900000,3095,18
3,h,837000,3095,18
4,h,1000000,3095,18
1,u,830000,3184,7.2
2,u,800000,3184,7.2
2,u,805000,3184,7.2
3,u,830000,3184,7.2
2,u,830000,3184,7.2
5,h,830000,3184,7.2
4,h,690000,3802,28.5
3,h,497000,3076,19.6
3,h,507500,3076,19.6
5,h,1010000,3076,19.6
4,h,1930000,3040,7.5
4,h,1399000,3040,7.5
3,h,1512000,3040,7.5
4,h,2000000,3040,7.5
3,u,552000,3040,7.5
2,u,860000,3040,7.5
4,h,946000,3041,8.2
3,h,1430000,3040,7.5
4,h,1270000,3078,5.7
3,h,635000,3060,13.1
3,h,630000,3060,13.1
3,h,705000,3060,13.1
3,t,625000,3060,13.1
3,h,665508,3156,24.8
3,h,691000,3156,24.8
3,h,830000,3156,24.8
4,h,815000,3156,24.8
3,h,730000,3156,24.8
4,h,830000,3065,2.1
1,u,720000,3065,2.1
3,h,1890000,3068,3.6
3,h,1454000,3068,3.6
3,h,1310000,3068,3.6
2,u,995000,3068,3.6
5,h,830000,3068,3.6
3,h,830000,3068,3.6
2,h,1325000,3068,3.6
1,u,331000,3011,5.1
3,h,1000000,3011,5.1
2,t,771000,3011,5.1
3,h,1260000,3131,15.4
3,h,508000,3199,38
2,h,501500,3199,38
3,h,450000,3200,36.9
4,h,351000,3199,38
4,h,650000,3043,12.9
3,t,830000,3146,7.3
3,h,1225000,3146,7.3
3,t,830000,3146,7.3
4,h,1500000,3146,7.3
4,h,830000,3146,7.3
4,h,830000,3146,7.3
4,t,1100080,3150,16.7
4,h,1520000,3150,16.7
7,h,1716000,3150,16.7
5,h,1100000,3150,16.7
4,h,1467000,3150,16.7
3,h,1600000,3150,16.7
4,h,1311000,3150,16.7
3,h,830000,3150,16.7
3,t,582000,3046,11.2
3,h,536000,3043,12.9
3,h,696000,3043,12.9
3,h,757000,3088,16.1
4,h,860000,3088,16.1
3,h,768000,3088,16.1
4,h,812000,3088,16.1
3,h,782000,3088,16.1
3,h,725000,3088,16.1
4,h,680000,3088,16.1
3,h,882000,3088,16.1
4,h,830000,3059,20.4
4,h,632000,3059,20.4
4,h,830000,3046,11.2
4,h,812000,3046,11.2
3,h,837000,3046,11.2
3,h,473000,3046,11.2
4,h,830000,3188,13.8
2,u,750000,3188,13.8
3,t,1510000,3188,13.8
3,h,1500000,3188,13.8
3,u,855000,3122,5.3
3,h,830000,3122,5.3
4,h,830000,3122,5.3
2,u,490000,3122,5.3
2,u,620000,3122,5.3
2,u,600000,3122,5.3
3,h,830000,3122,5.3
3,u,975000,3122,5.3
2,h,830000,3135,21.3
2,u,655000,3084,8.9
4,h,1420000,3084,8.9
3,h,786000,3081,8.8
2,u,830000,3081,8.8
3,h,959000,3081,8.8
3,h,720000,3081,8.8
4,t,830000,3190,16
3,h,1322000,3190,16
4,h,830000,3190,16
4,h,612500,3037,18
4,h,630000,3037,18
4,h,715000,3029,18.4
3,h,830000,3029,18.4
4,h,686500,3029,18.4
2,h,1065000,3166,12.3
4,h,1355000,3166,12.3
3,h,1145000,3166,12.3
2,h,792000,3079,7.8
3,h,1440000,3079,7.8
4,h,830000,3079,7.8
2,u,660000,3079,7.8
3,h,1977000,3079,7.8
3,h,1840000,3079,7.8
4,h,1275000,3079,7.8
3,h,1781000,3079,7.8
3,h,575000,3047,14
3,h,542000,3047,14
3,h,569000,3038,15.5
3,h,950000,3033,11.7
4,h,850000,3033,11.7
3,h,830000,3033,11.7
3,h,756000,3033,11.7
3,h,830000,3033,11.7
3,u,680000,3033,11.7
1,u,360000,3031,3.4
1,u,325000,3031,3.4
4,h,1103000,3031,3.4
2,h,901000,3031,3.4
2,t,830000,3031,3.4
2,u,653000,3101,5.4
4,h,830000,3101,5.4
3,h,830000,3101,5.4
3,h,2000000,3101,5.4
3,h,830000,3101,5.4
4,h,1610000,3101,5.4
3,h,830000,3101,5.4
3,h,830000,3101,5.4
3,h,1050000,3101,5.4
3,h,830000,3101,5.4
3,h,2155000,3101,5.4
3,u,830000,3101,5.4
5,h,830000,3102,7.3
4,h,1770000,3102,7.3
3,h,600000,3173,25.2
3,h,830000,3012,6.4
3,h,830000,3012,6.4
3,h,830000,3012,6.4
4,h,830000,3180,23.3
4,h,830000,3337,31.7
3,h,592000,3075,16.3
4,h,830000,3140,29.9
5,h,830000,3085,12.7
4,h,1120000,3085,12.7
3,u,710000,3085,12.7
3,h,915000,3085,12.7
2,u,830000,3012,6.4
1,u,360000,3144,5.9
3,h,1350000,3144,5.9
1,u,450000,3144,5.9
4,h,830000,3144,5.9
3,h,830000,3145,8.4
3,h,2000000,3145,8.4
3,t,1150000,3145,8.4
3,h,813000,3032,4.3
2,u,330000,3032,4.3
5,h,1425000,3032,4.3
3,u,875000,3204,11.4
2,h,1265000,3204,11.4
3,h,1200000,3204,11.4
3,h,520000,3048,17.4
2,u,605000,3000,0
2,u,649000,3000,0
1,u,440000,3000,0
3,h,431000,3337,31.7
4,h,1300000,3194,20
1,u,337000,3194,20
3,t,830000,3194,20
4,h,525500,3754,25.9
2,u,800000,3206,3
3,h,425000,3082,17.9
3,h,595500,3082,17.9
3,h,660000,3082,17.9
4,h,830000,3132,17.2
3,h,1300000,3132,17.2
3,h,820000,3094,16.2
3,h,725000,3094,16.2
2,h,1180000,3039,6.2
2,h,910000,3039,6.2
3,h,887500,3039,6.2
3,h,1143000,3039,6.2
3,u,830000,3039,6.2
3,h,1117500,3039,6.2
3,h,1330000,3039,6.2
2,h,800000,3189,14.3
5,h,1410000,3189,14.3
1,t,457500,3189,14.3
3,h,778000,3138,26.5
3,t,822000,3195,21.5
3,h,895000,3195,21.5
4,h,1300000,3195,21.5
2,u,568888,3149,14.2
5,h,3105000,3149,14.2
4,h,1500000,3149,14.2
3,t,1030000,3149,14.2
2,u,830000,3149,14.2
4,t,830000,3149,14.2
5,h,830000,3149,14.2
4,h,1275000,3149,14.2
3,h,1360000,3149,14.2
5,h,830000,3149,14.2
5,h,830000,3149,14.2
4,h,980000,3149,14.2
3,t,830000,3149,14.2
5,h,1601000,3149,14.2
4,h,1780000,3149,14.2
3,h,630000,3170,18.8
4,h,925000,3170,18.8
3,h,868000,3170,18.8
5,h,880000,3170,18.8
3,h,920000,3170,18.8
4,h,1550000,3163,10.1
2,u,720000,3163,10.1
2,u,586500,3163,10.1
3,h,551000,3805,34.1
4,h,510000,3805,34.1
2,h,1032000,3015,6.2
3,h,1270000,3015,6.2
4,h,710000,3174,22.7
6,h,1815000,3051,1.8
1,u,420000,3051,1.8
2,h,1200000,3070,5.3
1,u,345000,3070,5.3
3,h,830000,3070,5.3
3,t,1075000,3070,5.3
3,h,1332000,3070,5.3
1,u,830000,3070,5.3
3,h,685000,3131,15.4
3,h,1185000,3131,15.4
3,h,806000,3131,15.4
3,h,857000,3046,11.2
4,h,945000,3046,11.2
4,t,986000,3166,12.3
2,h,1120000,3167,15.5
3,u,710000,3167,15.5
2,u,420000,3204,11.4
2,u,490000,3204,11.4
3,h,830000,3204,11.4
3,t,1100000,3204,11.4
3,h,378000,3810,47.3
3,h,1260000,3195,21.5
3,h,1200000,3195,21.5
2,u,669000,3195,21.5
1,u,668000,3052,1.8
4,h,945000,3044,8.5
2,t,650000,3044,8.5
4,h,1510000,3044,8.5
2,t,522000,3044,8.5
3,u,760000,3044,8.5
3,h,930000,3044,8.5
3,t,645000,3197,31.2
4,h,830000,3090,20.1
3,h,641000,3030,14.7
4,h,720000,3030,14.7
2,u,625000,3207,3.5
3,h,1400000,3207,3.5
1,u,505000,3207,3.5
3,h,1650000,3207,3.5
1,u,311000,3181,4.6
2,h,1325000,3181,4.6
3,h,830000,3181,4.6
2,u,940000,3181,4.6
3,t,893000,3072,8.4
2,u,410000,3072,8.4
3,t,640000,3072,8.4
3,h,1239500,3072,8.4
2,h,530000,3072,8.4
3,h,610000,3073,12
2,h,710000,3073,12
3,h,830000,3073,12
1,u,357500,3073,12
2,u,560000,3073,12
2,u,390000,3073,12
4,h,830000,3073,12
3,h,700000,3073,12
2,h,846000,3073,12
3,h,500000,3073,12
5,h,1100000,3073,12
3,h,830000,3073,12
2,t,655000,3073,12
2,h,520000,3073,12
3,h,850000,3073,12
3,t,830000,3073,12
