Rooms,Type,Price,Postcode,Distance
3,h,886500,3073,12
2,h,1110000,3121,2.4
2,u,906000,3121,2.4
2,t,1100000,3121,2.4
2,u,610000,3121,2.4
1,u,550000,3121,2.4
2,u,514500,3121,2.4
3,h,830000,3121,2.4
3,h,1619000,3121,2.4
3,h,410000,3431,47.4
3,t,830000,3134,19.9
2,u,830000,3134,19.9
3,h,739000,3134,19.9
4,h,901000,3135,21.3
3,h,700000,3135,21.3
3,h,805000,3134,19.9
3,h,830000,3084,8.9
2,t,830000,3084,8.9
3,h,830000,3178,23.5
4,h,830000,3178,23.5
4,h,868200,3178,23.5
3,h,830000,3064,20.6
4,h,462000,3064,20.6
4,h,448000,3064,20.6
3,h,393500,3064,20.6
3,h,830000,3064,20.6
4,h,830000,3191,15.2
3,h,1450000,3191,15.2
3,t,830000,3191,15.2
3,h,821000,3179,22.2
4,h,701000,3198,35.4
3,h,865500,3011,5.1
2,u,362000,3011,5.1
2,u,830000,3205,1.9
2,u,651000,3205,1.9
4,h,711000,3752,20.5
4,h,560000,3752,20.5
3,t,387000,3752,20.5
4,h,830000,3752,20.5
5,h,920000,3752,20.5
4,h,706000,3752,20.5
1,u,480000,3141,2.7
2,u,495000,3141,2.7
4,h,830000,3141,2.7
2,u,705000,3141,2.7
1,u,392000,3141,2.7
2,u,630000,3006,0.7
3,t,667500,3015,6.2
3,h,860000,3171,20.8
4,h,860000,3021,14
3,h,610000,3021,14
3,h,605000,3021,14
3,h,645000,3021,14
3,h,830000,3021,14
1,h,1100000,3021,14
3,u,640000,3182,5
1,u,830000,3182,5
2,u,501500,3182,5
3,t,890000,3041,8.2
4,h,1301000,3041,8.2
3,h,900000,3041,8.2
3,h,890000,3020,10.5
3,h,830000,3020,10.5
2,u,430000,3020,10.5
3,h,1200000,3020,10.5
3,h,612000,3020,10.5
3,h,732000,3020,10.5
4,h,861800,3020,10.5
4,t,630000,3020,10.5
3,h,830000,3020,10.5
2,u,830000,3127,10.2
4,h,830000,3127,10.2
4,h,1600000,3127,10.2
2,h,830000,3127,10.2
3,h,830000,3127,10.2
5,h,593000,3037,18
4,h,547000,3037,18
3,h,830000,3038,15.5
4,h,645500,3038,15.5
5,h,1952000,3106,15.5
3,h,1175000,3106,15.5
4,h,1750000,3106,15.5
4,h,1380000,3106,15.5
3,t,965000,3106,15.5
4,h,1051888,3107,12.4
5,h,1310000,3107,12.4
4,h,1150000,3107,12.4
4,h,1255000,3107,12.4
5,h,1351000,3107,12.4
3,h,1161500,3107,12.4
3,h,580000,3074,15.3
3,h,745000,3074,15.3
3,h,576000,3074,15.3
3,u,517000,3074,15.3
3,h,525000,3074,15.3
2,u,830000,3071,7
2,h,1260000,3071,7
3,h,830000,3071,7
4,h,1651118,3071,7
1,u,830000,3142,4.1
2,u,580000,3142,4.1
2,u,1850000,3142,4.1
3,h,830000,3142,4.1
3,u,855000,3142,4.1
3,h,1600000,3142,4.1
3,h,830000,3029,18.4
4,h,695000,3043,12.9
3,h,560000,3043,12.9
2,h,830000,3043,12.9
4,h,1120000,3133,17.2
4,h,830000,3133,17.2
5,h,830000,3152,14.7
4,h,921000,3152,14.7
3,h,830000,3152,14.7
5,h,1390000,3152,14.7
4,h,830000,3113,21.1
3,h,730000,3113,21.1
2,h,700000,3030,14.7
3,h,452000,3030,14.7
3,h,830000,3030,14.7
3,h,430000,3030,14.7
3,h,720000,3012,6.4
3,h,975000,3012,6.4
2,h,930000,3012,6.4
1,u,315000,3003,3.1
2,t,470000,3049,16.5
3,h,830000,3049,16.5
4,h,830000,3150,16.7
4,h,1185000,3150,16.7
3,u,830000,3150,16.7
4,h,1050000,3150,16.7
3,h,1131000,3150,16.7
5,h,1700000,3016,6.8
3,h,1520000,3016,6.8
3,h,1621000,3016,6.8
2,h,1670000,3181,4.6
2,u,652000,3181,4.6
4,h,660000,3750,25.5
4,h,567500,3750,25.5
3,h,472500,3750,25.5
5,h,830000,3024,27.2
3,h,380000,3024,27.2
2,h,830000,3013,6.3
3,h,1381000,3013,6.3
3,h,830000,3013,6.3
2,u,607500,3013,6.3
3,h,1120000,3013,6.3
2,h,802000,3013,6.3
6,h,1550000,3013,6.3
3,h,1350000,3067,3
3,h,858000,3042,10.4
2,u,593000,3042,10.4
3,h,640000,3042,10.4
3,h,961000,3042,10.4
2,h,1535000,3206,3
3,h,570000,3020,10.5
4,h,830000,3078,5.7
3,h,830000,3028,15.5
3,h,900000,3025,9.4
3,h,830000,3025,9.4
2,t,650000,3025,9.4
2,h,480000,3022,12.8
3,h,950000,3032,4.3
4,h,830000,3032,4.3
3,h,1225000,3147,10.2
5,h,1025000,3049,16.5
3,u,622000,3034,9.5
3,h,825000,3034,9.5
4,h,1475000,3103,7.9
4,h,830000,3104,9.7
5,h,2160000,3104,9.7
3,t,1050000,3104,9.7
6,h,830000,3104,9.7
3,h,1275000,3104,9.7
3,t,640000,3153,23.2
3,u,500000,3153,23.2
4,h,825000,3153,23.2
1,u,830000,3193,17.3
2,u,800000,3193,17.3
4,h,1221000,3193,17.3
4,h,1800000,3193,17.3
5,h,830000,3193,17.3
4,h,1823000,3193,17.3
6,h,2000000,3193,17.3
3,h,1365000,3204,11.4
3,h,1045000,3204,11.4
5,h,1220000,3165,13.8
4,h,627500,3806,35.2
3,u,1095000,3130,13.4
4,h,830000,3130,13.4
3,h,1020000,3130,13.4
3,h,830000,3130,13.4
3,h,642000,3155,25
3,h,840000,3088,16.1
1,u,380000,3186,10.5
4,t,1731000,3187,10.3
3,t,465000,3047,14
3,h,518500,3047,14
3,u,665000,3012,6.4
2,u,692000,3056,5.2
2,h,1305000,3057,4
3,h,830000,3055,5.2
3,h,1100000,3055,5.2
2,h,573000,3055,5.2
3,h,1060000,3105,10.8
4,h,830000,3083,12.1
3,h,805000,3083,12.1
3,h,682000,3083,12.1
3,t,510000,3083,12.1
3,h,535000,3023,14.8
4,h,1088000,3151,14.7
3,h,1180000,3151,14.7
3,h,630000,3023,14.8
2,u,677000,3124,7.7
3,h,830000,3124,7.7
2,u,670000,3124,7.7
3,t,1320000,3124,7.7
2,u,816000,3126,8.4
1,u,350000,3053,1.6
2,u,620000,3053,1.6
3,h,1760000,3053,1.6
1,u,300000,3163,10.1
3,h,545000,3023,14.8
4,h,1800000,3162,8.7
2,u,1091500,3162,8.7
3,h,830000,3148,11.7
5,h,1140000,3192,17.9
3,t,950000,3192,17.9
2,h,1171000,3192,17.9
2,u,425000,3192,17.9
3,h,1116000,3192,17.9
3,h,830000,3169,17.5
3,u,830000,3168,16.7
4,h,830000,3168,16.7
3,u,1030000,3068,3.6
4,h,689000,3978,43.4
2,h,900000,3058,6.7
2,u,620000,3058,6.7
4,h,922000,3058,6.7
3,t,830000,3058,6.7
3,h,1077000,3058,6.7
4,h,800000,3058,6.7
3,h,805000,3058,6.7
4,h,665000,3064,20.6
4,h,607000,3064,20.6
3,h,515500,3064,20.6
4,h,509500,3064,20.6
3,h,660000,3064,20.6
5,h,572000,3977,34.7
4,h,932000,3136,23
2,u,566100,3136,23
2,h,570000,3136,23
4,h,875000,3136,23
3,h,830000,3136,23
4,h,810000,3136,23
3,h,585000,3175,24.7
2,u,348000,3175,24.7
3,h,627000,3175,24.7
3,h,760000,3175,24.7
2,h,621000,3089,21.8
2,u,612000,3172,22.2
3,t,840000,3108,12.4
3,t,945000,3108,12.4
6,h,1856000,3109,14.3
3,t,818000,3111,16.1
3,h,852000,3111,16.1
3,h,530500,3754,25.9
4,h,830000,3084,8.9
2,u,830000,3002,1.3
3,h,1092000,3196,27
3,h,975000,3095,18
3,h,805000,3095,18
4,h,770000,3095,18
2,h,830000,3095,18
2,u,830000,3184,7.2
2,u,830000,3184,7.2
1,u,425000,3184,7.2
2,u,830000,3184,7.2
3,h,830000,3782,36.9
3,u,830000,3076,19.6
4,h,940000,3076,19.6
2,u,437000,3076,19.6
5,h,660000,3076,19.6
3,h,1325000,3040,7.5
1,u,310000,3040,7.5
3,t,864000,3040,7.5
1,u,291000,3040,7.5
3,h,750000,3040,7.5
4,h,830000,3040,7.5
3,h,515000,3177,28.8
3,h,580000,3177,28.8
3,h,1550000,3078,5.7
2,h,672000,3060,13.1
3,h,720000,3060,13.1
2,u,414000,3156,24.8
2,h,1350000,3068,3.6
3,h,1852000,3068,3.6
2,h,1100000,3068,3.6
2,u,830000,3011,5.1
3,t,815000,3011,5.1
1,u,170000,3011,5.1
4,h,1372000,3131,15.4
3,t,850500,3131,15.4
2,u,400000,3199,38
3,h,640000,3199,38
3,h,830000,3199,38
3,h,611000,3200,36.9
3,h,830000,3199,38
3,h,755000,3199,38
4,h,521000,3437,45.9
3,h,625000,3043,12.9
3,h,650000,3043,12.9
4,h,1910000,3146,7.3
3,t,1900000,3146,7.3
2,u,500000,3146,7.3
2,u,523000,3146,7.3
4,h,830000,3150,16.7
4,h,1250000,3150,16.7
3,h,830000,3150,16.7
3,h,830000,3150,16.7
2,t,460000,3046,11.2
3,t,600000,3046,11.2
3,t,595000,3046,11.2
3,h,830000,3046,11.2
3,t,525000,3046,11.2
3,h,847000,3046,11.2
6,h,990000,3088,16.1
3,h,645000,3088,16.1
3,t,880000,3088,16.1
2,u,695000,3088,16.1
3,h,630000,3059,20.4
5,h,830000,3059,20.4
2,u,500000,3046,11.2
3,h,662500,3803,32.3
3,u,1210000,3188,13.8
3,t,1910000,3188,13.8
3,h,830000,3188,13.8
3,h,1140000,3188,13.8
3,h,830000,3188,13.8
2,h,830000,3122,5.3
1,u,395000,3122,5.3
3,u,1000000,3122,5.3
2,u,450000,3122,5.3
2,u,820000,3122,5.3
2,u,450000,3122,5.3
3,h,650000,3777,45.2
3,h,830000,3135,21.3
5,h,830000,3135,21.3
4,h,830000,3135,21.3
4,h,830000,3135,21.3
3,h,830000,3084,8.9
3,h,790000,3081,8.8
2,h,780000,3081,8.8
3,h,726500,3081,8.8
3,h,710000,3081,8.8
2,u,830000,3190,16
2,u,830000,3190,16
2,u,645000,3190,16
5,h,650500,3037,18
3,h,471000,3029,18.4
3,h,683000,3029,18.4
3,h,440000,3029,18.4
4,h,830000,3029,18.4
3,h,750000,3166,12.3
4,h,830000,3079,7.8
4,h,830000,3079,7.8
4,h,650000,3047,14
2,t,390000,3047,14
3,h,506000,3038,15.5
3,h,810000,3038,15.5
3,h,735000,3038,15.5
3,h,595000,3038,15.5
3,h,605000,3038,15.5
2,t,520000,3033,11.7
4,h,640000,3038,15.5
3,t,967000,3031,3.4
2,h,850000,3031,3.4
1,t,500000,3031,3.4
2,u,535000,3031,3.4
2,h,758000,3101,5.4
3,h,830000,3101,5.4
3,h,975000,3101,5.4
2,u,862000,3102,7.3
4,h,965000,3173,25.2
4,h,761000,3173,25.2
3,h,520000,3021,14
3,h,530000,3021,14
2,u,830000,3083,12.1
3,h,1020000,3012,6.4
1,u,210000,3012,6.4
4,h,750000,3075,16.3
3,h,635000,3075,16.3
2,u,410000,3075,16.3
5,h,675000,3075,16.3
5,h,880000,3093,14.6
3,h,597500,3975,33.8
3,u,640000,3085,12.7
1,u,280000,3012,6.4
2,t,520000,3012,6.4
3,t,895000,3012,6.4
3,t,660000,3012,6.4
3,h,830000,3145,8.4
4,h,830000,3145,8.4
3,h,1050000,3032,4.3
2,u,830000,3032,4.3
2,u,830000,3032,4.3
4,h,320000,3337,31.7
3,h,480000,3337,31.7
3,h,365000,3338,29.8
3,h,830000,3337,31.7
2,t,705000,3194,20
4,h,670000,3754,25.9
4,h,830000,3754,25.9
4,h,520500,3754,25.9
4,h,830000,3064,20.6
2,u,460000,3082,17.9
3,h,610000,3082,17.9
3,h,950000,3132,17.2
3,t,715000,3132,17.2
3,t,970000,3132,17.2
3,h,655000,3094,16.2
3,h,960000,3094,16.2
3,h,830000,3765,28.8
4,h,1810000,3039,6.2
2,h,1020000,3039,6.2
2,h,1250000,3039,6.2
3,h,1175000,3189,14.3
4,h,800000,3195,21.5
4,h,1225000,3195,21.5
6,h,1200000,3149,14.2
5,h,830000,3149,14.2
3,h,1205000,3149,14.2
4,h,1720000,3149,14.2
5,h,1600000,3149,14.2
3,h,944000,3149,14.2
3,h,1385000,3149,14.2
3,h,1280000,3149,14.2
3,h,2000000,3149,14.2
5,h,830000,3170,18.8
3,h,650000,3805,34.1
3,h,655000,3805,34.1
3,h,580000,3805,34.1
2,h,710000,3015,6.2
2,u,335000,3015,6.2
3,h,1330000,3015,6.2
2,u,466500,3174,22.7
4,h,830000,3174,22.7
2,u,550000,3051,1.8
2,h,962000,3051,1.8
2,t,936000,3051,1.8
2,u,580000,3051,1.8
4,h,1900000,3070,5.3
3,h,1605000,3070,5.3
3,h,1415000,3070,5.3
2,u,390000,3070,5.3
2,u,637000,3131,15.4
4,h,1100000,3131,15.4
3,h,926000,3131,15.4
2,t,610000,3046,11.2
3,u,700000,3046,11.2
5,h,1525000,3166,12.3
6,h,1900000,3166,12.3
3,h,830000,3167,15.5
3,h,830000,3167,15.5
3,u,830000,3167,15.5
1,u,454000,3204,11.4
3,u,683000,3127,10.2
3,h,830000,3127,10.2
3,h,1600000,3127,10.2
3,t,830000,3127,10.2
3,h,830000,3145,8.4
2,u,830000,3122,5.3
2,u,560000,3122,5.3
2,u,507000,3040,7.5
3,u,755500,3111,16.1
5,h,830000,3186,10.5
3,u,1070000,3103,7.9
4,h,1905000,3104,9.7
4,h,850000,3153,23.2
3,h,830000,3153,23.2
4,h,830000,3193,17.3
3,t,850000,3193,17.3
4,h,830000,3193,17.3
2,u,970000,3193,17.3
3,u,600000,3155,25
3,h,725000,3155,25
2,u,830000,3128,10.9
3,h,710000,3088,16.1
3,h,830000,3186,10.5
3,h,830000,3186,10.5
4,h,1830000,3186,10.5
3,t,1300000,3186,10.5
4,t,1600000,3162,8.7
5,h,1665000,3162,8.7
2,u,830000,3162,8.7
3,h,1460000,3162,8.7
3,u,760000,3040,7.5
3,h,1401000,3040,7.5
4,h,670000,3059,20.4
3,h,795000,3046,11.2
